TIME,TEMPERATURA,,
2023-01-01T16:32:54.328Z,11,,
2023-01-01T16:33:54.789Z,10,,
2023-01-01T16:34:55.179Z,11,,
2023-01-01T16:35:55.589Z,11,,
2023-01-01T16:36:56.116Z,11,,
2023-01-01T16:37:56.530Z,11,,
2023-01-01T16:38:56.943Z,11,,
2023-01-01T16:39:57.359Z,12,,
2023-01-01T16:40:57.775Z,12,,
2023-01-01T16:41:58.190Z,12,,
2023-01-01T16:42:58.612Z,11,,
2023-01-01T16:43:59.023Z,12,,
2023-01-01T16:44:59.470Z,11,,
2023-01-01T16:45:59.902Z,12,,
2023-01-01T16:47:00.301Z,12,,
2023-01-01T16:48:00.717Z,13,,
2023-01-01T16:49:01.136Z,12,,
2023-01-01T16:50:01.547Z,11,,
2023-01-01T16:51:01.954Z,12,,
2023-01-01T16:52:02.371Z,13,,
2023-01-01T16:53:02.785Z,12,,
2023-01-01T16:54:03.200Z,11,,
2023-01-01T16:55:03.616Z,12,,
2023-01-01T16:56:04.032Z,12,,
2023-01-01T16:57:04.469Z,12,,
2023-01-01T16:58:04.984Z,12,,
2023-01-01T16:59:05.398Z,11,,
2023-01-01T17:00:05.815Z,13,,
2023-01-01T17:01:06.383Z,13,,
2023-01-01T17:02:06.645Z,13,,
2023-01-01T17:03:07.059Z,13,,
2023-01-01T17:04:07.649Z,13,,
2023-01-01T17:05:08.025Z,14,,
2023-01-01T17:06:08.881Z,14,,
2023-01-01T17:07:08.856Z,13,,
2023-01-01T17:08:09.268Z,14,,
2023-01-01T17:09:09.668Z,15,,
2023-01-01T17:10:10.196Z,14,,
2023-01-01T17:11:10.617Z,14,,
2023-01-01T17:12:11.091Z,14,,
2023-01-01T17:13:11.449Z,13,,
2023-01-01T17:14:12.403Z,14,,
2023-01-01T17:15:12.884Z,14,,
2023-01-01T17:16:12.923Z,14,,
2023-01-01T17:17:13.338Z,14,,
2023-01-01T17:18:13.752Z,14,,
2023-01-01T17:19:14.174Z,14,,
2023-01-01T17:20:14.583Z,14,,
2023-01-01T17:21:15.000Z,13,,
2023-01-01T17:22:15.416Z,14,,
2023-01-01T17:23:15.831Z,14,,
2023-01-01T17:24:16.246Z,14,,
2023-01-01T17:25:16.669Z,13,,
2023-01-01T17:26:17.237Z,13,,
2023-01-01T17:27:17.492Z,15,,
2023-01-01T17:28:18.351Z,14,,
2023-01-01T17:29:18.324Z,13,,
2023-01-01T17:30:18.739Z,15,,
2023-01-01T17:31:19.422Z,15,,
2023-01-01T17:32:19.571Z,16,,
2023-01-01T17:33:19.987Z,15,,
2023-01-01T17:34:20.407Z,14,,
2023-01-01T17:35:20.821Z,14,,
2023-01-01T17:36:21.341Z,15,,
2023-01-01T17:37:21.933Z,14,,
2023-01-01T17:38:22.379Z,15,,
2023-01-01T17:39:22.798Z,15,,
2023-01-01T17:40:23.322Z,14,,
2023-01-01T17:41:23.737Z,14,,
2023-01-01T17:42:24.154Z,14,,
2023-01-01T17:43:24.591Z,16,,
2023-01-01T17:44:25.005Z,13,,
2023-01-01T17:45:25.419Z,15,,
2023-01-01T17:46:25.823Z,14,,
2023-01-01T17:47:26.239Z,14,,
2023-01-01T17:48:26.655Z,14,,
2023-01-01T17:49:27.189Z,14,,
2023-01-01T17:50:27.604Z,15,,
2023-01-01T17:51:28.020Z,17,,
2023-01-01T17:52:28.563Z,13,,
2023-01-01T17:53:28.982Z,14,,
2023-01-01T17:54:29.399Z,16,,
2023-01-01T17:55:29.813Z,15,,
2023-01-01T17:56:30.198Z,14,,
2023-01-01T17:57:30.628Z,15,,
